"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 22:29:47 GMT 2024","Wed May 08 22:30:27 GMT 2024","40286","","","","","","Validar o cadastro de um novo conteudo #2",""
"broken","Wed May 08 22:29:47 GMT 2024","Wed May 08 22:30:27 GMT 2024","40278","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
"passed","Wed May 08 22:30:27 GMT 2024","Wed May 08 22:31:30 GMT 2024","62761","","Cadastro de um usuário","","Validar o cadastro de um novo usuário","","Validar o cadastro de um novo usuário",""
"passed","Wed May 08 22:31:30 GMT 2024","Wed May 08 22:31:59 GMT 2024","28740","","","","","","Validar login na aplicação",""
"passed","Wed May 08 22:30:27 GMT 2024","Wed May 08 22:31:30 GMT 2024","62770","","","","","","Validar o cadastro de um novo usuário",""
"broken","Wed May 08 22:29:02 GMT 2024","Wed May 08 22:29:47 GMT 2024","45237","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
"broken","Wed May 08 22:29:02 GMT 2024","Wed May 08 22:29:47 GMT 2024","45333","","","","","","Validar o cadastro de um novo conteudo #1",""
"passed","Wed May 08 22:31:30 GMT 2024","Wed May 08 22:31:59 GMT 2024","28735","","Login","","Validar login na aplicação","","Validar login na aplicação",""
