"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 22:46:15 GMT 2024","Fri May 10 22:46:50 GMT 2024","35031","","","","","","Validar login na aplicação",""
"passed","Fri May 10 22:46:15 GMT 2024","Fri May 10 22:46:50 GMT 2024","35027","","Login","","Validar login na aplicação","","Validar login na aplicação",""
"passed","Fri May 10 22:44:22 GMT 2024","Fri May 10 22:45:19 GMT 2024","56943","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
"passed","Fri May 10 22:45:19 GMT 2024","Fri May 10 22:46:15 GMT 2024","55958","","Cadastro de um usuário","","Validar o cadastro de um novo usuário","","Validar o cadastro de um novo usuário",""
"passed","Fri May 10 22:43:24 GMT 2024","Fri May 10 22:44:22 GMT 2024","58645","","","","","","Validar o cadastro de um novo conteudo #1",""
"passed","Fri May 10 22:45:19 GMT 2024","Fri May 10 22:46:15 GMT 2024","55964","","","","","","Validar o cadastro de um novo usuário",""
"passed","Fri May 10 22:43:24 GMT 2024","Fri May 10 22:44:22 GMT 2024","58548","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
"passed","Fri May 10 22:44:22 GMT 2024","Fri May 10 22:45:19 GMT 2024","56948","","","","","","Validar o cadastro de um novo conteudo #2",""
