"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 22:20:38 GMT 2024","Fri May 10 22:21:03 GMT 2024","24841","","Login","","Validar login na aplicação","","Validar login na aplicação",""
"broken","Fri May 10 22:19:09 GMT 2024","Fri May 10 22:19:45 GMT 2024","35261","","","","","","Validar o cadastro de um novo conteudo #2",""
"passed","Fri May 10 22:20:38 GMT 2024","Fri May 10 22:21:03 GMT 2024","24845","","","","","","Validar login na aplicação",""
"broken","Fri May 10 22:18:39 GMT 2024","Fri May 10 22:19:09 GMT 2024","30411","","","","","","Validar o cadastro de um novo conteudo #1",""
"passed","Fri May 10 22:19:45 GMT 2024","Fri May 10 22:20:38 GMT 2024","53135","","","","","","Validar o cadastro de um novo usuário",""
"broken","Fri May 10 22:19:09 GMT 2024","Fri May 10 22:19:45 GMT 2024","35254","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
"passed","Fri May 10 22:19:45 GMT 2024","Fri May 10 22:20:38 GMT 2024","53129","","Cadastro de um usuário","","Validar o cadastro de um novo usuário","","Validar o cadastro de um novo usuário",""
"broken","Fri May 10 22:18:39 GMT 2024","Fri May 10 22:19:09 GMT 2024","30317","","Cadastro conteudo","","Validar o cadastro de um novo conteudo","","Validar o cadastro de um novo conteudo",""
